game_date,player_name,position,team_abbreviation,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct
2024-04-12,Pat Connaughton,G,MIL,MIL @ OKC,L,16,8,1,2,0,0,1,3,6,0.5,1,4,0.25
2024-04-12,Thanasis Antetokounmpo,F,MIL,MIL @ OKC,L,7,4,0,1,1,0,1,2,2,1.0,0,0,
2024-04-12,Mike Muscala,F-C,OKC,OKC vs. MIL,W,4,0,0,0,0,0,1,0,0,,0,0,
2024-04-12,Khris Middleton,F,MIL,MIL @ OKC,L,23,18,7,6,1,0,2,7,10,0.7,2,2,1.0
2024-04-12,Gordon Hayward,F,OKC,OKC vs. MIL,W,26,6,6,2,2,0,1,3,4,0.75,0,0,
2024-04-12,Patrick Beverley,G,MIL,MIL @ OKC,L,24,6,3,7,1,0,1,2,5,0.4,0,0,
2024-04-12,Brook Lopez,C,MIL,MIL @ OKC,L,23,18,2,1,0,1,0,7,14,0.5,2,7,0.286
2024-04-12,Gradey Dick,G-F,TOR,TOR @ MIA,L,31,8,1,0,0,0,0,3,7,0.429,2,5,0.4
2024-04-12,Jaime Jaquez Jr.,G,MIA,MIA vs. TOR,W,32,20,4,9,2,1,0,7,15,0.467,2,4,0.5
2024-04-12,Ochai Agbaji,G,TOR,TOR @ MIA,L,25,7,1,2,1,1,0,3,5,0.6,1,2,0.5
2024-04-12,RJ Barrett,F-G,TOR,TOR @ MIA,L,33,35,11,3,0,0,3,13,18,0.722,1,4,0.25
2024-04-12,Haywood Highsmith,F,MIA,MIA vs. TOR,W,26,9,1,1,0,1,1,4,5,0.8,1,2,0.5
2024-04-12,Bruce Brown,G-F,TOR,TOR @ MIA,L,22,14,4,4,0,0,2,5,6,0.833,2,2,1.0
2024-04-12,Delon Wright,G,MIA,MIA vs. TOR,W,19,7,2,5,2,0,0,2,4,0.5,1,3,0.333
2024-04-12,Jimmy Butler,F,MIA,MIA vs. TOR,W,29,14,3,7,0,0,0,5,7,0.714,2,2,1.0
2024-04-12,Kevin Love,F-C,MIA,MIA vs. TOR,W,18,14,8,2,1,0,0,5,13,0.385,2,8,0.25
2024-04-12,Malik Williams,C,TOR,TOR @ MIA,L,19,0,4,0,0,0,1,0,2,0.0,0,0,
2024-04-12,Cole Swider,F,MIA,MIA vs. TOR,W,1,0,0,0,0,0,0,0,0,,0,0,
2024-04-12,Jamal Cain,F,MIA,MIA vs. TOR,W,1,0,1,0,0,0,0,0,0,,0,0,
2024-04-12,Javon Freeman-Liberty,G,TOR,TOR @ MIA,L,15,4,1,2,0,0,2,1,5,0.2,0,3,0.0
2024-04-12,Alondes Williams,G,MIA,MIA vs. TOR,W,1,0,0,0,0,0,0,0,1,0.0,0,1,0.0
2024-04-12,Orlando Robinson,C,MIA,MIA vs. TOR,W,1,0,0,0,0,0,0,0,0,,0,0,
2024-04-12,Nikola Jovic,F,MIA,MIA vs. TOR,W,27,22,5,2,1,0,1,9,18,0.5,4,10,0.4
2024-04-12,Immanuel Quickley,G,TOR,TOR @ MIA,L,30,15,4,5,0,0,3,4,11,0.364,3,7,0.429
2024-04-12,Jordan Nwora,F,TOR,TOR @ MIA,L,4,0,1,0,0,0,1,0,0,,0,0,
2024-04-12,Tyler Herro,G,MIA,MIA vs. TOR,W,29,17,3,5,0,0,2,4,10,0.4,3,6,0.5
2024-04-12,Gary Trent Jr.,G,TOR,TOR @ MIA,L,29,7,1,1,0,0,1,3,13,0.231,1,7,0.143
2024-04-12,Caleb Martin,F,MIA,MIA vs. TOR,W,30,3,4,3,1,0,0,1,3,0.333,1,3,0.333
2024-04-12,Bam Adebayo,C-F,MIA,MIA vs. TOR,W,25,19,6,3,0,0,0,8,10,0.8,1,2,0.5
2024-04-12,Kelly Olynyk,F-C,TOR,TOR @ MIA,L,25,8,11,6,0,0,4,3,7,0.429,0,0,
2024-04-12,Garrett Temple,G-F,TOR,TOR @ MIA,L,8,5,2,0,0,0,0,2,3,0.667,0,1,0.0
2024-04-12,Noah Clowney,F,BKN,BKN @ NYK,L,28,9,5,2,0,0,2,4,7,0.571,1,4,0.25
2024-04-12,Jacob Gilyard,G,BKN,BKN @ NYK,L,12,0,3,2,1,0,0,0,0,,0,0,
2024-04-12,Jalen Wilson,F,BKN,BKN @ NYK,L,33,11,7,0,1,0,0,4,10,0.4,1,4,0.25
